utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/4219/4219-ssr.xml? Trying to re-download "/app:Skrivemåte>
          </app:skrivemåte>
        </app:Stedsnavn>
      </app:stedsnavn>
    </app:Sted>
  </wfs:member"
utility_to_osm - WARNING - ssr:stedsnr = 159 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 166 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 173 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 523 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 256 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 843 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 847 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 802 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 803 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 705 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 755 has multiple (10) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 919 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 894 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 895 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 897 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1205 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1208 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1211 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1218 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 997 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1000 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1141 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1143 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1146 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1516 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1569 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1734 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1978 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 40261. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 40970. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 55171: No priority spelling found for lang = no, using alt_name to get "[('no', 'Hodneøya')]"
utility_to_osm - ERROR - ssr:stedsnr = 59276. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 61125 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61132 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61510 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61574 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61725 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 61685: Adding multiple names to name tag, this is not OK! name = "Bjonetjørna;Mjonetjønn"
utility_to_osm - WARNING - ssr:stedsnr = 61685 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61686 has multiple (4) positions, using the first one!
