utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/5430/5430-ssr.xml? Trying to re-download "/app:Skrivemåte>
          </app:skrivemåte>
        </app:Stedsnavn>
      </app:stedsnavn>
    </app:Sted>
  </wfs:member"
utility_to_osm - WARNING - ssr:stedsnr = 229663 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 17054 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 17063 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 17649 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 17656 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 17658 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18002 has multiple (10) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18006 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18008 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18014 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 17954 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 17955 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 18207: Adding multiple names to name tag, this is not OK! name = "Gállovárri;Rádjevárri"
utility_to_osm - WARNING - ssr:stedsnr = 18209 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18210 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18276 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18277 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18280 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18283 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18411 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18601 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18610 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18611 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18612 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18613: No priority spelling found for lang = se, using alt_name to get "[('se', 'Mierojohka')]"
utility_to_osm - WARNING - ssr:stedsnr = 18613 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18614 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18805 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18808 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18706 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18709: No priority spelling found for lang = se, using alt_name to get "[('se', 'Čoalmmejohka')]"
utility_to_osm - WARNING - ssr:stedsnr = 18709 has multiple (7) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18710 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18717 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18718 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18786 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18996 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18899 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 19395 has multiple (4) positions, using the first one!
