utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3432/3432-ssr.xml? Trying to re-download "/app:Skrivemåte>
          </app:skrivemåte>
        </app:Stedsnavn>
      </app:stedsnavn>
    </app:Sted>
  </wfs:member"
utility_to_osm - WARNING - ssr:stedsnr = 10704 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10802 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 11233 has multiple (14) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 11384 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 11387 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 11484 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 11776 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 12282 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 232074. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 232667 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 232672. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 48218 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 50318: Adding multiple names to name tag, this is not OK! name = "Skalbekken;Svabekken"
utility_to_osm - WARNING - ssr:stedsnr = 71826 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 71830 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 71879 has multiple (7) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 71988 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 72589 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 72824 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 72927 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 72971 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 99302 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131595 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131703 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131878 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131883 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131885 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 132164 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 132363 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 132375 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 132409 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 132743 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 132750 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 132622 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 132664 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 132666 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 132815 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 132817 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 132818 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 132982 has multiple (2) positions, using the first one!
