utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3418/3418-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 7004 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7202 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7253 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7263 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7513 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7523 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7802 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9741 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9744 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 42380: Adding multiple names to name tag, this is not OK! name = "Kvernbekken;Høklingsbekken"
utility_to_osm - WARNING - ssr:stedsnr = 42380 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 46727. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 239047 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 239351 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 241610 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67849 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68014 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68204 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68604 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68585 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68905 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68906 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68912 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70630: No priority spelling found for lang = no, using alt_name to get "[('no', 'Gjerda')]"
utility_to_osm - WARNING - ssr:stedsnr = 70630 has multiple (11) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70506 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249527 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 249529: Adding multiple names to name tag, this is not OK! name = "Damsberg;Solli"
