utility_to_osm - WARNING - ssr:stedsnr = 244065 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244067 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244069 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244076 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244119 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244018 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244029 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244158 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244128 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244180 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244212 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244226 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244228 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244421 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244356 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244361 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244364 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244371 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244439 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244462 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244860 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244869 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244872 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244950 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245174 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245160 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245193 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245208 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245231 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245317 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 87342 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 88003 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 88005 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 88024 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 88303 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 88304 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 88409 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 88378 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 88382 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245993 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246000 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245943 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245961 has multiple (3) positions, using the first one!
