utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3024/3024-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 4923 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4931 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4946 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4962 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 5858 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 23340 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 39877 has multiple (4) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 44087. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 64021 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64029 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64064 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64839 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64854 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65006 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65103 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65104 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65809: No priority spelling found for lang = no, using alt_name to get "[('no', 'Ostøya')]"
utility_to_osm - WARNING - ssr:stedsnr = 65809 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65865 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65869 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65873 has multiple (7) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65916 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65925 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65965 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65969 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 242241. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 243000: No priority spelling found for lang = no, using alt_name to get "[('no', 'Gardlaushøgda naturreservat')]"
utility_to_osm - WARNING - ssr:stedsnr = 246045 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246795: No priority spelling found for lang = no, using alt_name to get "[('no', 'Lille Ostsund')]"
utility_to_osm - WARNING - ssr:stedsnr = 247104 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247836 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247865 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247884 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247933 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247934: No priority spelling found for lang = no, using alt_name to get "[('no', 'Urdselva')]"
utility_to_osm - WARNING - ssr:stedsnr = 247934 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124022 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125007 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125010 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125015 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125053 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125066 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125836 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125837 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125905 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 143901 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 167107 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 180676: No priority spelling found for lang = no, using alt_name to get "[('no', 'Sandvika')]"
utility_to_osm - WARNING - ssr:stedsnr = 185036 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186035 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186987 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186998 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 187000 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186882 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186883 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186889 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186891 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186896 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 264981 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 266257: No priority spelling found for lang = no, using alt_name to get "[('no', 'Lille Ost')]"
utility_to_osm - WARNING - ssr:stedsnr = 204937 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 228111 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246804 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247017 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247026 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247955 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247964 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 264988 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 268228 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 307108 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 307848 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 308047 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 307903 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 307920 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 307921 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 307924 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 307960 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 309993 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 325905 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 471096 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 367811 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 367812 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 367815 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 368075 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 368078 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 368053 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 368916 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 368924 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 368880 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 368896 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 368965 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 418038: No priority spelling found for lang = no, using alt_name to get "[('no', 'Øvre Kalvøya')]"
utility_to_osm - WARNING - ssr:stedsnr = 489025 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 489030 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 489853 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 489856 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 489858 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 489864 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 489939 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 489950 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 489970 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 489976 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 489986 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 428017 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 428024 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 429116 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 490877 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 429849 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 429951 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 429953 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 429958 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 490989 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 447579 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 671863 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 671843 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 671846 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 671883 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 671893 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 671901 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 672055 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 672879 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 672881 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 674243: No priority spelling found for lang = no, using alt_name to get "[('no', 'Skuitunnelen')]"
utility_to_osm - ERROR - ssr:stedsnr = 674243. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 489051 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 489783 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 489840 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 490908 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 507214 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 507906 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 507914 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 531102 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 549030 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 550058 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 550064 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 550944 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 550946 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 550957 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 550959 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 550999 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 550901 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 689245 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 568104 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 568107 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 693959 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 695985 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 590326 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 610030 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 610039 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 610041 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 610042 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 610111 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 610887 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 610889 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 610907 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 610978 has multiple (4) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 628047. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 628996 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 632931 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 652103 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 660033: Adding multiple names to name tag, this is not OK! name = "Snarøykilen;Snarøykilen lykt"
utility_to_osm - WARNING - ssr:stedsnr = 671012 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 671018 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 671937 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 671942 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 671873 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 673912 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 689895 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 691279: No priority spelling found for lang = no, using alt_name to get "[('no', 'Lilleosttangen')]"
utility_to_osm - ERROR - ssr:stedsnr = 896098. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 713089 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 731013 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 731019 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 732844 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 734899 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 734901 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 750917 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 750948. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 753471 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 772455. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 774870. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 788253. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 793114 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 793116 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 793024 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 793049 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 793784 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 793971 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 793975 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 794872 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 794874 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 794876 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 914895 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 914896 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 914900 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 914901 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 914961 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 914977 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 915043 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 915045 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 914828 has multiple (4) positions, using the first one!
