utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3817/3817-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 2320 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2332 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2337 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2339 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2346 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2349 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2350 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2403 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2428 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2432 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2435 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2480 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2483 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2494 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2607 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2627 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2524 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2579 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2580 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2583 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2591 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2805 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2873 has multiple (2) positions, using the first one!
