utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3818/3818-ssr.xml? Trying to re-download "/app:Skrivemåte>
          </app:skrivemåte>
        </app:Stedsnavn>
      </app:stedsnavn>
    </app:Sted>
  </wfs:member"
utility_to_osm - WARNING - ssr:stedsnr = 3635 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3803 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3814 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3819 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3715 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3751 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3774 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3775 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3780 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3781 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3785 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3788 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3901 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3920 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3871 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4805 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4865 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4774 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 44822 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63314 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63669 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64111 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64113 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64219 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64364 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64529 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64534 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64754 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64757 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64770 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64806 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64812 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64836 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64857 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64869 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64979 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65880 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65970 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245514 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245523 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246084 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246167 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246168 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246545 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246548 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246560 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246641 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246643 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246566 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246567 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246569 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246662 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246666 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246667 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246694 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246649 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246812 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246754 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246901 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246952 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246984 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246996 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247397 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247845 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247857 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 105194 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124317 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124502 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124505 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124506 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124523 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124528 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124529 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124551 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124567 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124570 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124715 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124652 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124654 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124656 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124674 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124911 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125767 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125845 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125848 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125815 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125825 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125831 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125839 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125841 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 145476 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 165918 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185334 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185100 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185607 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185509 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185535 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185715 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185805 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185813 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185838 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185943 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185945 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186776 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186789 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186974 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186997 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245634 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245642 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245651 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245220 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246015 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246105 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246101 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246215 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246504 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246505 has multiple (12) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246705 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246712 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246716 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246718 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246724 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246730 has multiple (2) positions, using the first one!
