utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/4645/4645-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 7050 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7109 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7112 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7115 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7116 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7127 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7407 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7419 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7301 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8151 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8160 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8163 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8164 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8247 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8251 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8293 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8405 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8409 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8412 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8352 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8353 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8394 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8397 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8515 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9688 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 36961 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68010 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68202 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68220 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68102 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68302 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68303 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68343 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68347 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68415 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68444 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68447 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69077 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69137 has multiple (2) positions, using the first one!
