utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3006/3006-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 2604 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2609: No priority spelling found for lang = no, using alt_name to get "[('no', 'Åsvannet')]"
utility_to_osm - WARNING - ssr:stedsnr = 2609 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2632 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2599: No priority spelling found for lang = no, using alt_name to get "[('no', 'Tverrvannet')]"
utility_to_osm - WARNING - ssr:stedsnr = 2599 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3418 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3404 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 3406: Adding multiple names to name tag, this is not OK! name = "Nord-Bjertnes setra;Trasetra"
utility_to_osm - WARNING - ssr:stedsnr = 3411 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3378 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3380 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3382 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3392 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3398 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3505 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3469 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3676 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3677 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3807 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 3713: Adding multiple names to name tag, this is not OK! name = "Grønlikollen;Grønliknatten"
utility_to_osm - WARNING - ssr:stedsnr = 3713 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3721 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3733 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3736 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3922 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3983 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3881 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4472 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4475 has multiple (5) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 4481: Adding multiple names to name tag, this is not OK! name = "Store Ormevann;Ormevannet"
utility_to_osm - WARNING - ssr:stedsnr = 4481 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 233791: No priority spelling found for lang = no, using alt_name to get "[('no', 'Skjentjennbekken')]"
utility_to_osm - WARNING - ssr:stedsnr = 233791 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 23789 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 23791 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 237924 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 60601 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63376 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 63609: Adding multiple names to name tag, this is not OK! name = "Busmo;Busmosetra"
utility_to_osm - WARNING - ssr:stedsnr = 63609 has multiple (3) positions, using the first one!
