utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3015/3015-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 2030 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4762 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63264 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64504 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64506 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245165 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245697 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247692 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247694 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123264 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123266 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124174 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 145387 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185192 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185194 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185634 has multiple (7) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185638 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185652 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 204446 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 204994 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245024: No priority spelling found for lang = no, using alt_name to get "[('no', 'Skiptvet kirke')]"
utility_to_osm - WARNING - ssr:stedsnr = 305124 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305128 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305024 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 306059 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 306203 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 368042 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 368728 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 368766 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 488159 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 489761 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 426301: No priority spelling found for lang = no, using alt_name to get "[('no', 'Glåma'), ('no', 'Glomma')]"
utility_to_osm - ERROR - ssr:stedsnr = 426301: Adding multiple names to name tag, this is not OK! name = "Glåma;Glomma"
utility_to_osm - WARNING - ssr:stedsnr = 426301 has multiple (342) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427025 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427027 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 427193 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 447516 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 671081 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 671097 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 671698 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487005 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487025 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487223 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 488055 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 488056 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 488058 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 508712 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 548207 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 548208 has multiple (3) positions, using the first one!
