utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3007/3007-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 86193 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 86334. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 86335. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 86703 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 86972 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 87699. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 87704. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 89880 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 90014 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 90082: No priority spelling found for lang = no, using alt_name to get "[('no', 'Øvre Leintjernsetra')]"
utility_to_osm - WARNING - ssr:stedsnr = 90110 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 90453 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 90973 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247215 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247229 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247584: No priority spelling found for lang = no, using alt_name to get "[('no', 'Veholtsetra')]"
utility_to_osm - WARNING - ssr:stedsnr = 247696 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247999 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248090 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248093 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248197 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248488 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248526 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248636 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248671 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248845 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249805 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249445 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249453 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249485: No priority spelling found for lang = no, using alt_name to get "[('no', 'Hvalssetra'), ('no', 'Øvre Hvalssetra')]"
utility_to_osm - ERROR - ssr:stedsnr = 249485: Adding multiple names to name tag, this is not OK! name = "Hvalssetra;Øvre Hvalssetra"
utility_to_osm - WARNING - ssr:stedsnr = 249485 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249498 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249645 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249605 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249657 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249658 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249667 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249726 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249732 has multiple (3) positions, using the first one!
