utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3451/3451-ssr.xml? Trying to re-download "/app:Skrivemåte>
          </app:skrivemåte>
        </app:Stedsnavn>
      </app:stedsnavn>
    </app:Sted>
  </wfs:member"
utility_to_osm - WARNING - ssr:stedsnr = 7962 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8512 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8651 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 8707: Adding multiple names to name tag, this is not OK! name = "Tonsbakken;Brøtin"
utility_to_osm - WARNING - ssr:stedsnr = 8707 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9043 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9088 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9089 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9302 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9332 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9335 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9299 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9437 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9606 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9609 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9619 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9398 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9507 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9514 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9595 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9695 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9808 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 235059 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 39012 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 39528 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 68920: Adding multiple names to name tag, this is not OK! name = "Svarthamarknatten;Svarthamar"
utility_to_osm - WARNING - ssr:stedsnr = 68924 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68943 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69097 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69733 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69682 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69683 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69685 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70104 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70326 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70329 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70076 has multiple (10) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70098 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70428 has multiple (7) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70475 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70487 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70489 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70380 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70515 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70526 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70711 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70573 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70723 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70731 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70732 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70785 has multiple (3) positions, using the first one!
