utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3813/3813-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 1301 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1312 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1299 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1601 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1612 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1617 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1836 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 229954 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2276 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2288 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 29502 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 39543 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 40203. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 42874 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 49588 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 56120 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62475 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62480 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62481 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62668 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62685 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62820 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62874 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62882 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62883 has multiple (4) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 242806. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 243238 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243251 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243306 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243307 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243328 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243922 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244252 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244254 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244455 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244524 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244619 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244854 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244858 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244867 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 85424 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 86000 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 101165. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 118375 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 118376 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 120770: No priority spelling found for lang = no, using alt_name to get "[('no', 'Båtstøtangen')]"
utility_to_osm - ERROR - ssr:stedsnr = 120770. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 120772. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 122311 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 122583 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123527 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123711 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123778 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123859 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123874 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 145503 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 147902 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 173463 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 174754 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 181911. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 182596 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 182912 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 183232: No priority spelling found for lang = no, using alt_name to get "[('no', 'Figgeskjæret')]"
utility_to_osm - WARNING - ssr:stedsnr = 183243 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 183244 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 183306 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 183294 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 183301 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 183403 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 183637 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 183798 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184841 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 209489 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210710 has multiple (6) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 234881. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 235096. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 235383 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243605 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243584 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243932 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244284 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244285 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244287 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244290 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244332 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244395 has multiple (8) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244526 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244689 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244697 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244904 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244876 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244883 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244924 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 268975 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 282324: No priority spelling found for lang = no, using alt_name to get "[('no', 'Ytre Kjønnøya')]"
utility_to_osm - WARNING - ssr:stedsnr = 283290 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 304278 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 304284 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 304323 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 304573 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 304581 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 304592 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 304909 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305512 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305476 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305683 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305684 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305685 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305708 has multiple (4) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 465181. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 473550 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 473727 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 359650 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 477087. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 363716. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 365309 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365313 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365315 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365298 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365299 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365686 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365689 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365693 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365839 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365790 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365800 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365908 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365909 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365919 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 388997 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 484734. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 484799: No priority spelling found for lang = no, using alt_name to get "[('no', 'Kaperveien')]"
utility_to_osm - ERROR - ssr:stedsnr = 484799. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 485533 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 486256 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 403410 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 404189. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 485943 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 486276 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 486289 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 486319 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 486323 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 486325 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 486393 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 486444 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 486685 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 410343 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487519 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487537 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487774: No priority spelling found for lang = no, using alt_name to get "[('no', 'Rafnes')]"
utility_to_osm - WARNING - ssr:stedsnr = 487774 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487792 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 416447. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 417748. No positions found, skipping
