utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/4217/4217-ssr.xml? Trying to re-download "/app:Skrivemåte>
          </app:skrivemåte>
        </app:Stedsnavn>
      </app:stedsnavn>
    </app:Sted>
  </wfs:member"
utility_to_osm - WARNING - ssr:stedsnr = 74 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 396 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 543 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 544 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 405 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 411: Adding multiple names to name tag, this is not OK! name = "Stigåna;Skjeggedalsåna"
utility_to_osm - WARNING - ssr:stedsnr = 411 has multiple (10) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 413 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 458 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 643 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 702 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 707 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 758: No priority spelling found for lang = no, using alt_name to get "[('no', 'Flatenfoss')]"
utility_to_osm - WARNING - ssr:stedsnr = 758 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1006 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1048 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1093 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1221 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1238 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1242 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 993 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1104 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1105 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1106 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1108 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1189 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1194 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1304 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1309 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 1316: Adding multiple names to name tag, this is not OK! name = "Geirusdalen;Gjeruvsdalen"
utility_to_osm - WARNING - ssr:stedsnr = 1316 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1489 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1492 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1499 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1503 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1507 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1590 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1731 has multiple (2) positions, using the first one!
