utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3036/3036-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 5321 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 5805 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 5760 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 5770 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 6322 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 23390 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 66268 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 66648 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 66679 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 66795 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 66905 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 66908 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 66912 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 66898 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67293 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67306 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67313 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67322 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67325 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 81926: No priority spelling found for lang = no, using alt_name to get "[('no', 'Økrisætra')]"
utility_to_osm - WARNING - ssr:stedsnr = 81926 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 84333 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248495 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248668 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248751 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248752 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248761 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248771 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248793 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248794 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248871 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248874 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248831 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248834 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248938 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249232 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249236 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249300 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249373 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249338 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249374 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249375 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 126763 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 126913 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 126642 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 126645 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 126808 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 126815 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 126855 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 127348 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 127691 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 127852 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 144408 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 164771 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 187820: No priority spelling found for lang = no, using alt_name to get "[('no', 'Nordbyvangen')]"
utility_to_osm - WARNING - ssr:stedsnr = 187820 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 187823 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 187721 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 187777 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 187787 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 187795 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 188411: No priority spelling found for lang = no, using alt_name to get "[('no', 'Snellingsrøysene')]"
utility_to_osm - WARNING - ssr:stedsnr = 188411 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 188878 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 263684: No priority spelling found for lang = no, using alt_name to get "[('no', 'Stormåsan')]"
utility_to_osm - WARNING - ssr:stedsnr = 263684 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 263777: No priority spelling found for lang = no, using alt_name to get "[('no', 'Bjertnessætra')]"
utility_to_osm - WARNING - ssr:stedsnr = 263777 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 265293 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 205937 has multiple (8) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 226688. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 248724 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248662 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248808 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248862 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248921 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249259 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249315 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249320 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 308757 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 308771 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 308803 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 309342 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 309698 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 309819 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 309600 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 309711 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 309735 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 326119. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 326363 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 326417 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 369526 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 369584 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 369589 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 369590 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 369718 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 369605 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 369606 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 369614 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 369817 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 369762 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 369907 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 369772 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 370306 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 370310 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 370385 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 370411 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 387206 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 387208 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 490686 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 490645 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 490668 has multiple (3) positions, using the first one!
