utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/1874/1874-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 16368 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 17499 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77507 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77500 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 78426 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 78399 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 138092 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 138097 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 138102 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 138402 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 138403 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 138490 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 138493 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 138396 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259031 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 259370: Adding multiple names to name tag, this is not OK! name = "Lamholmen;Kuforet"
utility_to_osm - WARNING - ssr:stedsnr = 259370 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259374 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259391 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259394 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259398 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259401 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259476 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 260474: Adding multiple names to name tag, this is not OK! name = "Nabblisvadet;Finnhamnneset"
utility_to_osm - WARNING - ssr:stedsnr = 260481 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198405 has multiple (2) positions, using the first one!
