utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3449/3449-ssr.xml? Trying to re-download "/app:Skrivemåte>
          </app:skrivemåte>
        </app:Stedsnavn>
      </app:stedsnavn>
    </app:Sted>
  </wfs:member"
utility_to_osm - WARNING - ssr:stedsnr = 6905 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 6965 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7516 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7519 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7522 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7527 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7528 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7655 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7662 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7548 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7705 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7727 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7897 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7946 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7947 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7958 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7959 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7964 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7994 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8698 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9213 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9102 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9143 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9188 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9638 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9837 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9850 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9789 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9791 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 240761 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 67651. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 67700 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68545 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 68794: Adding multiple names to name tag, this is not OK! name = "Storsvei;Holt"
utility_to_osm - WARNING - ssr:stedsnr = 68794 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68810 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68886 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68981 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68996 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69706 has multiple (3) positions, using the first one!
