utility_to_osm - WARNING - ssr:stedsnr = 137018 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137021 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 137219: Adding multiple names to name tag, this is not OK! name = "Øverkjettavatnet;Øvrevatnet"
utility_to_osm - WARNING - ssr:stedsnr = 137219 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137224: No priority spelling found for lang = no, using alt_name to get "[('no', 'Reppavatnet')]"
utility_to_osm - WARNING - ssr:stedsnr = 137224 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 137305: Adding multiple names to name tag, this is not OK! name = "Vesterlia;Høglia"
utility_to_osm - WARNING - ssr:stedsnr = 137305 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137364 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137744 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137747 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137915 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137916 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 137644: Adding multiple names to name tag, this is not OK! name = "Nordråholmskjeret;Råholmskjeret"
utility_to_osm - WARNING - ssr:stedsnr = 137644 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137655 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137656 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137812 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137826 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137897 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137946 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137994 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137997 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 146398 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 258027 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 258053 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 258682 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 258324 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 258696 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 258698 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 258966 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259022 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259024 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259027 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259030 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259048 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259087 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259180: No priority spelling found for lang = no, using alt_name to get "[('no', 'Kilaosen')]"
utility_to_osm - WARNING - ssr:stedsnr = 259180 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259187: No priority spelling found for lang = no, using alt_name to get "[('no', 'Lamholmen')]"
utility_to_osm - WARNING - ssr:stedsnr = 259195: No priority spelling found for lang = no, using alt_name to get "[('no', 'Bøkvalvika')]"
utility_to_osm - WARNING - ssr:stedsnr = 259195 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259197 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259479 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259230 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259234 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259429 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259432 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259618 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259622 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259637 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259652 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 259659: Adding multiple names to name tag, this is not OK! name = "Skivikaksla;Høgaksla"
utility_to_osm - WARNING - ssr:stedsnr = 259665 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 163015: No priority spelling found for lang = no, using alt_name to get "[('no', 'Storselsøya'), ('no', 'Selsøya')]"
utility_to_osm - ERROR - ssr:stedsnr = 163015: Adding multiple names to name tag, this is not OK! name = "Storselsøya;Selsøya"
utility_to_osm - WARNING - ssr:stedsnr = 163015 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 163259 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259711 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259719 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259768 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259770 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259783 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259788 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259893 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259989: No priority spelling found for lang = no, using alt_name to get "[('no', 'Gjerdøya')]"
utility_to_osm - WARNING - ssr:stedsnr = 259989 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259999 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 165079 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198213 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 198258: Adding multiple names to name tag, this is not OK! name = "Valen;Vardhågen"
utility_to_osm - WARNING - ssr:stedsnr = 198258 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198263 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198272 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198107 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198174 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198181 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198623 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198657 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198858 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198861 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198867 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198868 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198870 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198874 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198756 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198763 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198764 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198771 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198903 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198914 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198915 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198958 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198962 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198963 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 198968 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 450400 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 258005 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 258055 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 258023 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 258709 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 258713 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 258759 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 258904 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 258910 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 258915 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259079 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259357 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259105 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259109 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259177 has multiple (8) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259217 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259239 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259267 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259909 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259923 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259933 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259822: No priority spelling found for lang = no, using alt_name to get "[('no', 'Nesøya')]"
utility_to_osm - WARNING - ssr:stedsnr = 259822 has multiple (7) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259825 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259857 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 259878 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 268405 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 268400 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 287028: No priority spelling found for lang = no, using alt_name to get "[('no', 'Grønnvikfjæra')]"
utility_to_osm - WARNING - ssr:stedsnr = 319009 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 319104 has multiple (4) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 319105: Adding multiple names to name tag, this is not OK! name = "Langnesskjeret;Langnesholmen"
utility_to_osm - WARNING - ssr:stedsnr = 319105 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 319246 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 319250 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 319298 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 319403 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 319142 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 319745 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 319753 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 319637 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 319687 has multiple (2) positions, using the first one!
