utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/4635/4635-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 7306 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7309 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7317 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7358 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7366 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8150 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8472 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8789 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8910 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9142 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9413 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9611 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9615 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9395 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9397 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9504 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9593 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9594 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9599 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9816: No priority spelling found for lang = no, using alt_name to get "[('no', 'Omdal')]"
utility_to_osm - WARNING - ssr:stedsnr = 9787 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9902 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9913 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 24048 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 25001 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 25410 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 25412 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 35013 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67353 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68397 has multiple (3) positions, using the first one!
