utility_to_osm - WARNING - ssr:stedsnr = 260121 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260131 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260132 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260361 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260362 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260368 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260398 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260428 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260438 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260443 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260473 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260480 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260483 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260484 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260491 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260617 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260622 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260627 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 260629: Adding multiple names to name tag, this is not OK! name = "Grena;Vesltverrelvgrena"
utility_to_osm - WARNING - ssr:stedsnr = 260629 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260523 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260526 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260527 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260528 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260534 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260535 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260537 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260573 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260589 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 260655: Adding multiple names to name tag, this is not OK! name = "Øverlia;Stormoen"
utility_to_osm - WARNING - ssr:stedsnr = 260655 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260631 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260641 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260666 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260673 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260686 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 171368: No priority spelling found for lang = se, using alt_name to get "[('no', 'Gaivarrirøysa')]"
utility_to_osm - ERROR - ssr:stedsnr = 261285: Adding multiple names to name tag, this is not OK! name = "Isdalselva;Tverrelva"
utility_to_osm - WARNING - ssr:stedsnr = 261285 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261287 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261294 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261454 has multiple (7) positions, using the first one!
utility_to_osm - ERROR - invalid name_status = "avslått navnevalg"
utility_to_osm - ERROR - invalid name_status = "avslått navnevalg"
utility_to_osm - ERROR - invalid name_status = "avslått navnevalg"
utility_to_osm - WARNING - ssr:stedsnr = 261455: No priority spelling found for lang = se, using alt_name to get "[('no', 'Stalloelva'), ('se', 'Stállovádjájohka')]"
utility_to_osm - WARNING - ssr:stedsnr = 261455 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261463 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 176965 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261655 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 178168 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261657 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261661 has multiple (39) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261915 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 199310 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 199312 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 199355 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 199413 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 199627 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 199661: No priority spelling found for lang = se, using alt_name to get "[('no', 'Kamphola'), ('se', 'Várdnolriehppi')]"
utility_to_osm - WARNING - ssr:stedsnr = 199661 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 199662 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 200409 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 200470 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 200304 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 200504 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 200509 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 200498 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 205343. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 207105 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 207114: No priority spelling found for lang = se, using alt_name to get "[('no', 'Rønningsskardet'), ('se', 'Dildobahta')]"
utility_to_osm - WARNING - ssr:stedsnr = 260217 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260153 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260155 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260159 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260317 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260457 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260614 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260648 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260557 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 260703: Adding multiple names to name tag, this is not OK! name = "Kvisla;Storkvisla"
utility_to_osm - WARNING - ssr:stedsnr = 260703 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260705 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 260710: Adding multiple names to name tag, this is not OK! name = "Stebekken;Nordre stebekk"
utility_to_osm - WARNING - ssr:stedsnr = 260710 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260716 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 282273 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 293532 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 299005 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 299408 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 320485 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 321236 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 321238 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 321102 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 321106 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 321305 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 321408 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 321604 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 321622 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 321632 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 321635 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 321502 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 321516 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 321517 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 321530 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 321535 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 321590 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 368323 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 381110 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 381314 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 381315 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 381320 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 381410 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 381417 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 381657 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 381662 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 381667 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 381669 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 381671 has multiple (3) positions, using the first one!
