utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/4221/4221-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 1624 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1576 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1581 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1585 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1596 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1597 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1742 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1941 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1944 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1945 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1681 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1829 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1832 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1839 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1879 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2490: No priority spelling found for lang = no, using alt_name to get "[('no', 'Nonstad')]"
utility_to_osm - WARNING - ssr:stedsnr = 2490 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2527 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2529 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2530 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2534 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2535 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2578 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2590 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2593 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2703 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2705 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2715 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2722 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2998 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 22191 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 22795 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 22901 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 22813 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 23391 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 23432 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 23633 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 23801 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 60524: No priority spelling found for lang = no, using alt_name to get "[('no', 'Setesdal Vesthei Ryfylkeheiane landskapsvernområde')]"
utility_to_osm - WARNING - ssr:stedsnr = 60524 has multiple (8) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62277 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62502 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62506 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62526 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62566 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62573 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62710 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62720 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62417 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62421 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62604 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62615 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62617 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62666 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62686 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62687 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62876 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62881 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62907 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62973 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62979 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62980 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63501 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63678 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63569 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63585 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63710 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63717 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244266 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244268 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244274 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244316 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244443 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244617 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244559 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244562 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244568 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244573 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 82136 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244662 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244752 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244753 has multiple (7) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244758 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244863 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244933 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244920 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245000 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244952 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 83411 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 244963 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 83505 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 83812 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 83839 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 84934 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245457 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245459 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245516 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245470 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245496 has multiple (2) positions, using the first one!
