utility_to_osm - WARNING - ssr:stedsnr = 686267 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 686273 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 686275 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 686282 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 686548 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 686577: Adding multiple names to name tag, this is not OK! name = "Finnset;Øvre Finnset"
utility_to_osm - WARNING - ssr:stedsnr = 686577 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 686609 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 686616 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 686622 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 686632 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 686725 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 688376: No priority spelling found for lang = se, using alt_name to get "[('no', 'Høggumpen'), ('se', 'Gearsoaivi')]"
utility_to_osm - WARNING - ssr:stedsnr = 688376 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 564367 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 564569 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 564570 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 564580 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 564605 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 564617 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 696382 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 696485 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 696492 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 596152 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 624616 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 624672 has multiple (11) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 624706 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 624878 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 625516 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 625605 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 625759 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 625905 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 625902 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685542 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685692 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 686587 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 746316 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 746669 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 746517 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 747903 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 904351 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 904492 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 904897 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 928078 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 928539 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 928544 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 928547 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 928686 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 928694 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 928883 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 929270 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 929280: No priority spelling found for lang = se, using alt_name to get "[('no', 'Gumpedalen'), ('se', 'Gumpevággi')]"
utility_to_osm - WARNING - ssr:stedsnr = 929280 has multiple (10) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 929573 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 929578 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 929520 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 868316 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 868707 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 933760 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 928502 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 929311 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 929507 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 929300 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 933897 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 936506 has multiple (2) positions, using the first one!
