utility_to_osm - ERROR - ssr:stedsnr = 57177. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 59009 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 59120. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 59227. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 240535. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 241223: No priority spelling found for lang = no, using alt_name to get "[('no', 'Mellomgårdvegen')]"
utility_to_osm - ERROR - ssr:stedsnr = 241223. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 241225. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 68002 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68399 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68903 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68945 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68894 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69204 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69295 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69439 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69602 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69607 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69612 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69616 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69581 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69729 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69731 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69901 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69902 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69910 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69912 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69929 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69932 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69698 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69700 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69891 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69897 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69900 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 69981 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70579 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 71575 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 71587 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 71670 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 84138 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 85103 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 85123 has multiple (4) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 101509. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 102021 has multiple (2) positions, using the first one!
