utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3443/3443-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 7120 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7258 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7406 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7417 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7418 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7312 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7315 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7355 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7359 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 23782 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67409 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67416 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67421 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67423 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67305 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67899 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68104 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68342 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68345 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68348 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68287 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68434 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68443 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249289 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249397 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249406 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249410 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250091 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250108 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250123 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250340 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250406 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250410 has multiple (2) positions, using the first one!
