utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3433/3433-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 10241 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10242 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10189: No priority spelling found for lang = no, using alt_name to get "[('no', 'Heksete')]"
utility_to_osm - WARNING - ssr:stedsnr = 10189 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10607 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10507 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10508 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10535 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10539 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 10711: Adding multiple names to name tag, this is not OK! name = "Rusti;Nørdre Tuva"
utility_to_osm - WARNING - ssr:stedsnr = 10715 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10730 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10731 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10738 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10840 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10842 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10843 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10882 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10888 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10981 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10993 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 11233 has multiple (14) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 50472 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 51773 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70477 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70497 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70824 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 71682 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 71824 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 71827 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 71834 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 71878 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 71990 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252480 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252485 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252487 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252466 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252470 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252474 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252477 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252478 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252493 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252495 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252512 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252539 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252566 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252627 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252628 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252632 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131079 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252615 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131489 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131500 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131512 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131515 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131528 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131576 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131702 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252669 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131870 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131875 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131879 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131884 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131714 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 132183 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 132742 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 132745 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 132812 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 132982 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253094 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253161 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253284: No priority spelling found for lang = no, using alt_name to get "[('no', 'Torda')]"
utility_to_osm - WARNING - ssr:stedsnr = 253284 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253285 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253452 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253654 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253657 has multiple (14) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253759 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253763 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253801 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253765 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253769 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253836 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 253868. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 253942 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253944 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253971 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 254189 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253436 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253716 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253717 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253720 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253723 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253729 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253733 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253750 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253779 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 253784: Adding multiple names to name tag, this is not OK! name = "Bjørkli;Systun Kvee"
utility_to_osm - WARNING - ssr:stedsnr = 253784 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253785 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253879 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253895 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253979 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 293729 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 313505 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 313516 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 313522 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 313526 has multiple (15) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 313676. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 313680 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 313707 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 313931 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 314172 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 470499. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 373512 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 373701 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 374404 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 374713 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 374738 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 374741 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 374743 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 374747 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 374638 has multiple (8) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 374822 has multiple (2) positions, using the first one!
