utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3446/3446-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 6178 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 6182 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 6312 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 6060 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 6064 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 6624 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 6966 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 6986 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7124 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7521 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 60709. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 66721 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67197 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67726 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67990 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 242547. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 242641. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 242684. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 242672. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 248114 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248131 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248364 has multiple (55) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248737 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249057 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249069 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249074 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249176 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249462 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249466 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249481 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249486 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249949 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249906 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249936 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250104 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250110 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250066 has multiple (3) positions, using the first one!
