utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3824/3824-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 2427 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2429 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2482 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2601 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2578 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2600 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3041 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2774 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2776 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2781 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3110 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3376 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3723 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4106 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 27169 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 28082 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63014 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63108 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63110 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63274 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63405 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63414 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63802 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63805 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63566 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63567 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63568 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63581 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63760 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63777 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63782 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64044 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64505 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64507 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64703 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65086 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245282 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 85190 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245387 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245516 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245358 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245360 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 86477 has multiple (2) positions, using the first one!
