utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/5420/5420-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 18106 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18605 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 19603 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 19595: Adding multiple names to name tag, this is not OK! name = "Rundfjellet;Litje Rundfjellet"
utility_to_osm - WARNING - ssr:stedsnr = 19595 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 234153 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 79095 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 79309 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 79593 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 79595 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 79889 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 112874 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 119926: No priority spelling found for lang = no, using alt_name to get "[('no', 'Rya')]"
utility_to_osm - ERROR - ssr:stedsnr = 119926. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 139341 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 139343 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 139089: Adding multiple names to name tag, this is not OK! name = "Tverrdalselva;Tverrelva"
utility_to_osm - WARNING - ssr:stedsnr = 139089 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 139642 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 141240 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260344 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260672 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260934 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261074 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 261265: Adding multiple names to name tag, this is not OK! name = "Klauvholmen;Holmen"
utility_to_osm - WARNING - ssr:stedsnr = 261265 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261272 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261283 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261241 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261326 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 261328: Adding multiple names to name tag, this is not OK! name = "Kjerkeholmen;Holmen;Holmsholmen"
utility_to_osm - WARNING - ssr:stedsnr = 261335 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261374 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 200259 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 200357 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 201603 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 201592 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260157 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260957 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261257: No priority spelling found for lang = se, using alt_name to get "[('no', 'Svinryggen'), ('se', 'Spiinnehárji')]"
utility_to_osm - WARNING - ssr:stedsnr = 261257 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261296 has multiple (20) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261348 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 320633 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 321094 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 322305 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 404115 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442937 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 443240 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 443295 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 443297: Adding multiple names to name tag, this is not OK! name = "Lavik;Søre Lavika"
utility_to_osm - WARNING - ssr:stedsnr = 443297 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 443382 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 503082 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 503803 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 503970 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 504304 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685253 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685615 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685623 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685925 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685927 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 686290 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 686297 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 686311: Adding multiple names to name tag, this is not OK! name = "Forsåelva;Halselva"
utility_to_osm - WARNING - ssr:stedsnr = 686311 has multiple (5) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 686326: Adding multiple names to name tag, this is not OK! name = "Langhaugen;Mosheia"
utility_to_osm - WARNING - ssr:stedsnr = 686326 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 686338 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 686344 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 686347 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 686349 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 686370 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 686263 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 544919: No priority spelling found for lang = no, using alt_name to get "[('no', 'Lundeveien')]"
utility_to_osm - ERROR - ssr:stedsnr = 544919. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 544920: No priority spelling found for lang = no, using alt_name to get "[('no', 'Dalgårdveien')]"
utility_to_osm - ERROR - ssr:stedsnr = 544920. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 564369: Adding multiple names to name tag, this is not OK! name = "Skogshamnelva;Reinmyrelva"
utility_to_osm - WARNING - ssr:stedsnr = 564369 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 604923: No priority spelling found for lang = no, using alt_name to get "[('no', 'Sandvikveien')]"
utility_to_osm - ERROR - ssr:stedsnr = 604923. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 624257 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 624259 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 624264 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 625278 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 625284 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 625288 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 705180 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 705228 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 658133 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685248 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 686639 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 705219 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 719174 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 746112 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 746088: Adding multiple names to name tag, this is not OK! name = "Tverrdalen;Dalen"
utility_to_osm - WARNING - ssr:stedsnr = 746088 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 746308 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 746620 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 746869 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 746870 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 746968 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 746969: No priority spelling found for lang = se, using alt_name to get "[('no', 'Salangseidet'), ('se', 'Rásseloháidi')]"
utility_to_osm - WARNING - ssr:stedsnr = 746969 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 746977 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 780813 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 814916: No priority spelling found for lang = no, using alt_name to get "[('no', 'Vinjeveien')]"
utility_to_osm - ERROR - ssr:stedsnr = 814916. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 814935 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 827862 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 847924: No priority spelling found for lang = no, using alt_name to get "[('no', 'Skøvassveien')]"
utility_to_osm - ERROR - ssr:stedsnr = 847924. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 927643 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 928112 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 928227 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 928237 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 928333 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 928343 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 928869 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 928892 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 928906: No priority spelling found for lang = se, using alt_name to get "[('no', 'Faksfjorden')]"
utility_to_osm - WARNING - ssr:stedsnr = 928906 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 928919 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 928996 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 928997 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 929320 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 929335 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 929336 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 929289 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 867973 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 867939 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 867943 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 868224 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 868607 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 868619 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 900113 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 908952: No priority spelling found for lang = no, using alt_name to get "[('no', 'Mohamnveien')]"
utility_to_osm - ERROR - ssr:stedsnr = 908952. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 928015: No priority spelling found for lang = no, using alt_name to get "[('no', 'Dyrøya')]"
utility_to_osm - ERROR - ssr:stedsnr = 928816: Adding multiple names to name tag, this is not OK! name = "Øvervatnet;Slåttevatnet"
utility_to_osm - WARNING - ssr:stedsnr = 928816 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 962903 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 17927: No priority spelling found for lang = se, using alt_name to get "[('no', 'Løksetinden'), ('se', 'Leakšogáisá')]"
utility_to_osm - WARNING - ssr:stedsnr = 17927 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 17944 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 17947 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 17145: No priority spelling found for lang = se, using alt_name to get "[('no', 'Dyrøya')]"
utility_to_osm - WARNING - ssr:stedsnr = 17145 has multiple (7) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 17687 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18085 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18033 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18232 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18246 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18313 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 18848: Adding multiple names to name tag, this is not OK! name = "Litlevatnet;Nervatnet"
utility_to_osm - WARNING - ssr:stedsnr = 18848 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18849 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18870 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18879 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 18985: Adding multiple names to name tag, this is not OK! name = "Laukenesklubben;Laukneset"
utility_to_osm - WARNING - ssr:stedsnr = 18987 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 19252 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 19255 has multiple (2) positions, using the first one!
