utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3405/3405-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 8021 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68915 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68929 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249045 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249043 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250395 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250404 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250380 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250629 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250755 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250912 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250962 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129479 has multiple (12) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 176956 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190018 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190027 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190082 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 190963 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 269894 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 237833 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 299291 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 310204 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 310187 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 311125 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 311185 has multiple (2) positions, using the first one!
