utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3030/3030-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 4520 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4506 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4470 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4473 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4679 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4813 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4709 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 5606 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 5524 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 5574 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 25005: No priority spelling found for lang = no, using alt_name to get "[('no', 'Romeriksporten')]"
utility_to_osm - ERROR - ssr:stedsnr = 25005. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 39202 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 239246 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 57210 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 57218 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 57521: No priority spelling found for lang = no, using alt_name to get "[('no', 'Råsok naturreservat')]"
utility_to_osm - WARNING - ssr:stedsnr = 65602 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65604 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65817 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65864 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 65921 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 66512 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247039 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247530 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247483 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247486 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247491 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 247536. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 247709 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247695 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247736 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247843 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 247898 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 100417 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248370 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248389 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248643 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 126454 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 126700 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 126817 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 127440 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 144413 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186491 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 186607 has multiple (2) positions, using the first one!
