utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3447/3447-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 7409 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7321 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 7363: Adding multiple names to name tag, this is not OK! name = "Beritsvea;Skogheim"
utility_to_osm - WARNING - ssr:stedsnr = 7363 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7614 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7616 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7668 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7546 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7706 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7716 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7797 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9610 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9629 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9631 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9946 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67242 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67639 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67649 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67650 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67655 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67733 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67741 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67749 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68218 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68356 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68701 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68785 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68686 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68696 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68803 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 68804 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70077 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70625 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70629 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70634 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70637 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 70578 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 248364 has multiple (55) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249382 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249624 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249631 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249633 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249671 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249712 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249721 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249731 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249743 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249750 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249762 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249774 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250247 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250223 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250227 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250253 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250325 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250327 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250449 has multiple (8) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250507 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250514 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250595 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 116242 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250571 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250586 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250589 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250705 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250708 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250781 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251551 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128102 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128194 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128199 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128338 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128346 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128212 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128405 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128406 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128419 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128509 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128548 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128593 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128596 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128598 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128733 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128737 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 128740: Adding multiple names to name tag, this is not OK! name = "Hågån;Nordby"
utility_to_osm - WARNING - ssr:stedsnr = 128433 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128614 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128650 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128662 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128802 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128786 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128793 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128796 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128890 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252476 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252516 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 130612 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 130596 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252585 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252599 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252614 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252652 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252720 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252723 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 162415 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 162965: No priority spelling found for lang = no, using alt_name to get "[('no', 'Hasvalsæterhytta')]"
utility_to_osm - WARNING - ssr:stedsnr = 182507 has multiple (2) positions, using the first one!
